id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
5232,213800EJP14A79ZG1X44,Marks & Spencer Group PLC,MKS,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2002-03-19,True
4847,213800S21IFC367J5V62,Marshalls PLC,MSLH,GB,FTSE 350,FTSE 250,London Stock Exchange,2004-07-08,True
4639,2138006YJ65EKBYYYX41,ME Group International PLC,MEGP,GB,FTSE 350,FTSE 250,London Stock Exchange,1962-12-05,True
5335,213800RGNXXZY2M7TR85,Melrose Industries PLC,MRO,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2016-08-31,True
5031,254900TWUJUQ44TQJY84,M&G PLC,MNG,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2019-10-21,True
4826,213800JHYNDNB1NS2W10,Mitchells & Butlers PLC,MABB,GB,FTSE 350,FTSE 250,London Stock Exchange,2003-04-15,True
4697,213800MTCLTKEHWZMJ03,Mitie Group PLC,MTO,GB,FTSE 350,FTSE 250,London Stock Exchange,1988-11-29,True
5287,213800A8IQEMY8PA5X34,Mobico Group PLC (formerly: National Express Group),NXPGF,GB,FTSE 350,FTSE 250,London Stock Exchange,1995-04-26,True
4951,213800IPCR3SAYJWSW10,Molten Ventures PLC,GRW,GB,FTSE 350,FTSE 250,London Stock Exchange,2016-06-15,True
5312,213800LOZA69QFDC9N34,Mondi PLC,MNDI,GB,FTSE 350,FTSE 100|STOXX Europe 600,Johannesburg Stock Exchange Limited|London Stock Exchange,2007-07-03,True
5313,54930016B7VO33FBE722,Moneysupermarket.com Group PLC,MONY,GB,FTSE 350,FTSE 250,London Stock Exchange,2007-07-31,True
5186,213800MRI1JTUKG5AF64,Monks Investment Trust PLC,MNKS,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
4597,I4K14LL95N2PHDL7EG85,Morgan Advanced Materials PLC,MGAM,GB,FTSE 350,FTSE 250,London Stock Exchange,1946-10-02,True
5283,2138008339ULDGZRB345,Morgan Sindall Group PLC,MGNS,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-10-28,True
4618,549300IRNFGVQIQHUI13,Murray Income Trust PLC,MUT,GB,FTSE 350,FTSE 250,London Stock Exchange,1953-09-17,True
4594,549300BP77JO5Y8LM553,Murray International Trust PLC,MYI,GB,FTSE 350,FTSE 250,London Stock Exchange,1945-06-21,True
